name	taxRank	genomeSize	numReads	numUniqueReads	abundance
Homo sapiens	species	3238442024	56137394	25593517	0.000277684
synthetic construct	species	26537524	1868720	405356	0.00293774
Alphapapillomavirus 7	species	7857	9360	7098	0
Human herpesvirus 4 type 2	leaf	172764	5427	5424	0.0374358
Alphapapillomavirus 9	species	7906	4728	2131	0
Human papillomavirus type 26	leaf	7855	4204	4161	0
Human immunodeficiency virus 1	species	9181	2797	2314	0.959349
Leuconostoc gelidum JB7	leaf	1893499	2683	2560	0
Salmonella enterica subsp. enterica serovar Typhimurium	leaf	64608362	2398	1507	0
Human papillomavirus type 137	leaf	7236	2112	2105	0
Human papillomavirus type 128	leaf	7259	2108	3	0
Human papillomavirus type 34	leaf	7723	1578	1546	0
Papio hamadryas papillomavirus type 1	species	8008	642	640	0
Alphapapillomavirus 3	species	7989	590	534	0
Pseudoalteromonas rubra	species	5913780	459	376	0
Alphapapillomavirus 13	species	7759	327	325	0
Delftia sp. Cs1-4	species	6685842	299	61	0
Rhodococcus sp. 008	species	7438324	242	41	0
Delftia acidovorans SPH-1	leaf	6767514	239	30	0
Delftia tsuruhatensis	species	7195716	205	21	0
Rhodococcus erythropolis	species	6691155	201	0	0
Staphylococcus carnosus	species	2566424	200	192	0
Staphylococcus carnosus subsp. carnosus TM300	leaf	2566424	189	181	0
Finegoldia magna ATCC 29328	leaf	1986740	160	160	0
Ralstonia insidiosa	species	12164766	109	1	0
Human papillomavirus type 7	leaf	8027	100	92	0
Rhodococcus opacus	species	9001985	91	0	0
Lawsonella clevelandensis	species	3775705	91	0	0
Human papillomavirus type 154	species	7286	82	61	0
Carnobacterium maltaromaticum LMA28	leaf	3650416	82	76	0
Rhodococcus erythropolis PR4	leaf	6895538	81	0	0
Rhodococcus erythropolis CCM2595	leaf	6371421	81	0	0
Rhodococcus	genus	7101773	79	49	0
Flammeovirgaceae bacterium 311	species	6665617	69	63	0
Rhodococcus erythropolis R138	leaf	6806506	69	0	0
