name	taxID	genomeSize	numReads	numUniqueReads	abundance
Homo sapiens	9606	3238442024	44917384	26915157	2.50E-05
synthetic construct	32630	26537524	1311027	293187	0.000153502
Human herpesvirus 4 type 2	12509	172764	54352	54270	0.0373521
Human immunodeficiency virus 1	11676	9181	28206	23374	0.962469
Papio hamadryas papillomavirus type 1	990303	8008	6253	6239	0
Salmonella enterica subsp. enterica serovar Typhimurium	90371	64608362	3367	2487	0
Alphapapillomavirus 7	337042	7857	3302	251	0
Human papillomavirus type 128	931209	7259	3057	11	0
Staphylococcus carnosus	1281	2566424	1756	1699	0
Finegoldia magna ATCC 29328	334413	1986740	1511	1508	0
Staphylococcus carnosus subsp. carnosus TM300	396513	2566424	1494	1437	0
Human papillomavirus type 154	1195796	7286	730	551	0
Alphapapillomavirus 13	333766	7759	456	453	0
Rhodococcus sp. 008	1723645	7438324	281	5	0
Rhodococcus erythropolis	1833	6691155	275	0	0
Rhodococcus erythropolis PR4	234621	6895538	218	0	0
Rhodococcus erythropolis CCM2595	1136179	6371421	218	0	0
Human papillomavirus type 32	333763	7961	210	210	0
Rhodococcus erythropolis R138	1289591	6806506	208	0	0
Human papillomavirus type 129	931210	7219	188	179	0
Delftia sp. Cs1-4	742013	6685842	182	58	0
Alphapapillomavirus 3	333767	7989	163	163	0
Stenotrophomonas maltophilia R551-3	391008	4573969	161	160	0
Staphylococcus lugdunensis	28035	2627127	145	0	0
Delftia acidovorans SPH-1	398578	6767514	136	4	0
Paracoccus aminophilus JCM 7686	1367847	4873118	134	0	0
Delftia tsuruhatensis	180282	7195716	124	1	0
Human papillomavirus type 26	333762	7855	124	123	0
Human papillomavirus type 53	333765	7856	112	109	0
Mitsuaria sp. 7	1658665	6085092	106	0	0
Human papillomavirus type 10	333759	7919	95	86	0
Rhodococcus	1827	7101773	87	53	0
Staphylococcus epidermidis	1282	2601987	84	0	0
Corynebacterium ureicelerivorans	401472	2328278	83	82	0
Burkholderia sp. HB1	1678678	7206167	83	81	0
Human endogenous retrovirus K113	166122	9472	82	0	0
Chloracidobacterium thermophilum B	981222	3695372	75	75	0
