name	taxRank	genomeSize	numReads	numUniqueReads	abundance
Homo sapiens	species	3238442024	52794312	28737044	2.53E-06
synthetic construct	species	26537524	1468242	426145	4.23E-05
Human herpesvirus 4 type 2	leaf	172764	543924	543316	0.0363392
Human immunodeficiency virus 1	species	9181	281452	232362	0.963616
Salmonella enterica subsp. enterica serovar Typhimurium	leaf	64608362	3651	2549	0
Delftia tsuruhatensis	species	7195716	123	42	0
Rhodococcus sp. 008	species	7438324	122	22	0
Cucumber mosaic virus	species	8623	112	4	3.19E-15
Delftia sp. Cs1-4	species	6685842	107	19	0
Rhodococcus erythropolis	species	6691155	102	1	0
Alphapapillomavirus 7	species	7857	102	80	0
Propionibacterium acnes	species	2515790	91	38	0
Delftia acidovorans SPH-1	leaf	6767514	83	14	0
Brevundimonas sp. GW460-12-10-14-LB2	species	3263775	67	25	0
Brevundimonas sp. DS20	species	3475610	66	31	0
Human papillomavirus type 26	leaf	7855	59	59	0
Stenotrophomonas maltophilia R551-3	leaf	4573969	56	55	0
Rhodococcus	genus	7101773	55	45	0
Rhodococcus erythropolis PR4	leaf	6895538	53	1	0
Rhodococcus erythropolis CCM2595	leaf	6371421	53	0	0
Rhodococcus erythropolis R138	leaf	6806506	52	0	0
Polaromonas naphthalenivorans CJ2	leaf	5366143	48	21	0
Paracoccus denitrificans PD1222	leaf	5236194	45	2	0
Alphapapillomavirus 9	species	7906	44	23	0
Corynebacterium singulare	species	2830519	39	20	0
Leptothrix cholodnii SP-6	leaf	4909403	38	0	0
Rhodococcus opacus	species	9001985	35	1	0
Xanthomonas campestris pv. campestris	leaf	14898506	33	0	0
Corynebacterium aurimucosum ATCC 700975	leaf	2819226	33	13	0
Oligotropha carboxidovorans OM5	leaf	7641703	31	0	0
Pseudomonas stutzeri	species	4548207	30	1	0
Propionibacterium acnes subsp. defendens ATCC 11828	leaf	2488626	29	0	0
Leuconostoc gelidum JB7	leaf	1893499	29	29	0
Mitsuaria sp. 7	species	6085092	28	4	0
Simbu virus	species	12172	26	5	0
Stenotrophomonas sp. LM091	species	4317450	25	23	0
Finegoldia magna ATCC 29328	leaf	1986740	24	24	0
Propionibacterium sp. oral taxon 193	species	2649207	24	0	0
Rhodococcus opacus PD630	leaf	9169032	23	0	0
Pseudomonas	genus	6119631	22	20	0
Corynebacterium simulans	species	5336673	22	0	0
Treponema brennaborense DSM 12168	leaf	3055580	22	22	0
Human papillomavirus type 128	leaf	7259	22	0	0
[Polyangium] brachysporum	species	6476147	21	1	0
Candidatus Symbiobacter mobilis CR	leaf	2991840	21	21	0
Magnetospirillum sp. XM-1	species	4992477	21	20	0
Streptococcus pneumoniae	species	2114821	20	0	0
Streptococcus mitis	species	2146611	20	0	0
Lactobacillus gasseri ATCC 33323 = JCM 1131	leaf	1894360	20	20	0
Acidovorax sp. KKS102	species	5196935	20	0	0
Streptococcus oralis Uo5	leaf	1958690	20	0	0
Streptococcus pseudopneumoniae IS7493	leaf	2195458	20	0	0
Corynebacterium sp. ATCC 6931	species	2471920	20	19	0
Stenotrophomonas maltophilia	species	4684682	19	9	0
Human papillomavirus type 137	leaf	7236	19	19	0
Bradyrhizobium sp.	species	7547693	18	0	0
Bradyrhizobium sp. BTAi1	species	8493513	18	1	0
Bradyrhizobium sp. S23321	species	7231841	18	0	0
Methylobacterium sp. 4-46	species	7737025	18	18	0
Microcystis aeruginosa NIES-843	leaf	5842795	18	0	0
Micrococcus luteus NCTC 2665	leaf	2501097	18	17	0
Bradyrhizobium oligotrophicum S58	leaf	8264165	18	1	0
Microcystis aeruginosa NIES-2549	leaf	4294213	18	0	0
Microcystis aeruginosa NIES-2481	leaf	4293006	18	0	0
Porphyromonas gingivalis	species	2339774	17	17	0
Kineococcus radiotolerans SRS30216 = ATCC BAA-149	leaf	4956672	17	1	0
Corynebacterium maris DSM 45190	leaf	2833547	17	13	0
Bradyrhizobium diazoefficiens	species	18211892	17	0	0
Nitrobacter hamburgensis X14	leaf	5011522	16	1	0
Pseudomonas stutzeri A1501	leaf	4567418	16	1	0
Sphingomonas melonis TY	leaf	4196755	16	15	0
Pseudonocardia dioxanivorans CB1190	leaf	7303989	16	0	0
Oligotropha carboxidovorans OM4	leaf	3839771	16	0	0
Candidatus Filomicrobium marinum	species	7939883	16	0	0
Ralstonia insidiosa	species	12164766	15	13	0
Corynebacterium efficiens YS-314	leaf	3219505	15	14	0
Acidovorax citrulli AAC00-1	leaf	5352772	15	0	0
Saccharomonospora viridis DSM 43017	leaf	4308349	15	0	0
Acidovorax avenae subsp. avenae ATCC 19860	leaf	5482170	15	0	0
Kibdelosporangium phytohabitans	species	11759770	15	0	0
Alloactinosynnema sp. L-07	species	7405112	15	0	0
Rhodococcus jostii RHA1	leaf	9702737	14	0	0
Human papillomavirus type 34	leaf	7723	14	14	0
Ramlibacter tataouinensis TTB310	leaf	4070193	14	0	0
Deinococcus deserti VCD115	leaf	3855329	14	0	0
Rhodococcus sp. WMMA185	species	4444448	14	1	0
Corynebacterium variabile DSM 44702	leaf	3433007	14	0	0
Pseudomonas stutzeri DSM 4166	leaf	4689946	14	0	0
Brevibacillus laterosporus LMG 15441	leaf	5153859	14	14	0
Lawsonella clevelandensis	species	3775705	14	0	0
Limnohabitans sp. 103DPR2	species	2948795	14	0	0
Corynebacterium urealyticum	species	2342642	13	0	0
Anaerococcus prevotii DSM 20548	leaf	1998633	13	13	0
Brevundimonas naejangsanensis	species	2971535	13	0	0
Corynebacterium resistens DSM 45100	leaf	2601311	13	0	0
Corynebacterium terpenotabidum Y-11	leaf	2751233	13	0	0
Intestinimonas butyriciproducens	species	3376475	13	13	0
Corynebacterium glyciniphilum AJ 3170	leaf	3568218	13	0	0
Bradyrhizobium	genus	11894480	12	0	0
Nitrobacter hamburgensis	species	5011522	12	0	0
Nitrobacter winogradskyi	species	3402093	12	0	0
Rhodopseudomonas palustris	species	5408501	12	0	0
Oligotropha carboxidovorans	species	5740737	12	0	0
Phenylobacterium zucineum HLK1	leaf	4379231	12	12	0
Desulfomicrobium orale DSM 12838	leaf	2783374	12	12	0
Polymorphum gilvum SL003B-26A1	leaf	4718963	12	12	0
Advenella kashmirensis WT001	leaf	4423879	12	0	0
Advenella mimigardefordensis DPN7	leaf	4764126	12	0	0
Rhodococcus sp. PBTS 2	species	5316948	12	1	0
Methylophilus sp. TWE2	species	3079044	12	11	0
Staphylococcus epidermidis	species	2601987	11	0	0
Macacine herpesvirus 4	species	171096	11	11	0
Corynebacterium camporealensis	species	2451810	11	11	0
Xanthomonas campestris pv. campestris str. 8004	leaf	5148708	11	0	0
Bacteroides helcogenes P 36-108	leaf	3998906	11	11	0
Acinetobacter baumannii	species	3994952	10	0	0
Corynebacterium diphtheriae	species	2469401	10	10	0
Roseateles depolymerans	species	5681722	10	5	0
Comamonadaceae	family	5402391	10	4	0
Sphingobacterium sp. ML3W	species	5329010	10	10	0
Acinetobacter sp. NCu2D-2	species	3048277	10	10	0
Methylobacterium	genus	6606092	9	5	0
Streptomyces reticuli	species	9336224	9	3	0
Methanobacterium formicicum	species	7422571	9	0	0
Moraxella osloensis	species	2649137	9	9	0
Human endogenous retrovirus K113	leaf	9472	9	1	0
Selenomonas sputigena ATCC 35185	leaf	2568361	9	9	0
Alteromonas australica	species	8766305	9	0	0
Janthinobacterium sp. 1_2014MBL_MicDiv	species	6453540	9	9	0
Fusobacterium nucleatum	species	2948417	8	0	0
Corynebacterium	genus	2717615	8	4	0
Pseudomonas citronellolis	species	14631203	8	1	0
Streptomyces venezuelae	species	18089227	8	5	0
Shamonda virus	species	12104	8	4	0
Desulfitobacterium hafniense DCB-2	leaf	5279134	8	0	0
Desulfitobacterium dichloroeliminans LMG P-21439	leaf	3624449	8	0	0
Hyphomicrobium nitrativorans NL23	leaf	3653837	8	0	0
Sorangium cellulosum So0157-2	leaf	14782125	8	4	0
Pseudomonas denitrificans ATCC 13867	leaf	5696307	8	1	0
Fusobacterium hwasookii ChDC F174	leaf	2531722	8	0	0
Fusobacterium hwasookii ChDC F206	leaf	2430523	8	0	0
Fusobacterium hwasookii ChDC F300	leaf	2527063	8	0	0
Plesiomonas shigelloides	species	3405979	7	0	0
Streptomyces albus	species	6841649	7	1	0
Leclercia adecarboxylata	species	4803917	7	7	0
Lysobacter antibioticus	species	11681564	7	2	0
Candidatus Solibacter usitatus Ellin6076	leaf	9965640	7	1	0
Beggiatoa leptomitiformis	species	4265296	7	0	0
Xanthomonas translucens pv. undulosa	leaf	4561137	7	0	0
Acidovorax ebreus TPSY	leaf	3796573	7	6	0
Rhodopseudomonas palustris DX-1	leaf	5404117	7	7	0
Xanthomonas translucens pv. translucens DSM 18974	leaf	4715357	7	0	0
Pseudomonas knackmussii B13	leaf	6162905	7	0	0
Rhodococcus sp. PBTS 1	species	4251687	7	1	0
Nocardia seriolae	species	8304518	6	6	0
Pseudoalteromonas rubra	species	5913780	6	4	0
Rothia mucilaginosa	species	2264603	6	6	0
Thermotoga maritima MSB8	leaf	7469591	6	0	0
Thermobifida fusca YX	leaf	3642249	6	1	0
Kocuria rhizophila DC2201	leaf	2697540	6	6	0
Nautilia profundicola AmH	leaf	1676444	6	0	0
Bacillus beveridgei	species	3582268	6	6	0
Campylobacter ureolyticus RIGS 9880	leaf	1641887	6	6	0
Magnetospirillum gryphiswaldense MSR-1 v2	leaf	4365796	6	6	0
Blautia sp. YL58	species	5128792	6	6	0
Delftia	genus	6767514	5	0	0
Ralstonia mannitolilytica	species	9915295	5	5	0
Staphylococcus epidermidis RP62A	leaf	2643840	5	0	0
Staphylococcus epidermidis ATCC 12228	leaf	2564615	5	0	0
Mycoplasma genitalium G37	leaf	580076	5	0	0
Alphapapillomavirus 3	species	7989	5	5	0
Pseudomonas entomophila L48	leaf	5888780	5	4	0
Chitinophaga pinensis DSM 2588	leaf	9127347	5	5	0
Burkholderia sp. CCGE1002	species	7884858	5	0	0
Corynebacterium kroppenstedtii DSM 44385	leaf	2446804	5	0	0
Micromonospora sp. L5	species	6962533	5	0	0
Desulfobacula toluolica Tol2	leaf	5197905	5	0	0
Mycoplasma genitalium M6320	leaf	579796	5	0	0
Mycoplasma genitalium M6282	leaf	579504	5	0	0
Mycoplasma genitalium M2288	leaf	579558	5	0	0
Mycoplasma genitalium M2321	leaf	579977	5	0	0
Solitalea canadensis DSM 3403	leaf	5202069	5	4	0
Corynebacterium epidermidicanis	species	2692072	5	5	0
Staphylococcus epidermidis PM221	leaf	2597508	5	0	0
Desulfuromonas sp. DDH964	species	3924652	5	0	0
Leptothrix	genus	4909403	4	0	0
Vibrio parahaemolyticus	species	5172800	4	0	0
Blastochloris viridis	species	11174693	4	0	0
Trueperella pyogenes	species	2272494	4	0	0
Streptomyces lincolnensis	species	10319054	4	3	0
Gordonia	genus	5567155	4	0	0
Gordonia bronchialis	species	5290012	4	0	0
Gordonia terrae	species	5701501	4	0	0
Tsukamurella paurometabola	species	4479724	4	0	0
Thermotoga maritima	species	7469591	4	0	0
Variovorax paradoxus	species	6817856	4	0	0
Asticcacaulis excentricus	species	4308776	4	0	0
Burkholderia cenocepacia	species	7744804	4	1	0
Stenotrophomonas rhizophila	species	4198652	4	1	0
Thalassospira xiamenensis	species	4768950	4	0	0
Cyanobium gracile PCC 6307	leaf	3342364	4	3	0
Methylibium	genus	4643639	4	0	0
Paucibacter	genus	0	4	0	0
Gordonia sp. KTR9	species	5885710	4	0	0
Candidatus Korarchaeum cryptofilum OPF8	leaf	1590757	4	3	0
Corynebacterium ureicelerivorans	species	2328278	4	4	0
Prevotella sp. oral taxon 299 str. F0039	leaf	2480269	4	0	0
Hoyosella subflava	species	4863490	4	0	0
Thioflavicoccus mobilis 8321	leaf	4137521	4	0	0
Gordonia sp. QH-11	species	4428727	4	1	0
Granulicella tundricola MP5ACTX9	leaf	5503984	4	1	0
Myxococcus hansupus	species	9490432	4	3	0
Alteromonas mediterranea U8	leaf	4395035	4	1	0
Corynebacterium falsenii DSM 44353	leaf	2719616	4	2	0
