kmer_size	number_of_kmer	number_of_threads	search_time
150	100000	16	85.8087
150	100000	1	347.01
150	100000	2	222.158
150	100000	32	74.2998
150	100000	4	150.856
150	100000	8	108.774
150	10000	16	11.6671
150	10000	1	37.6694
150	10000	2	25.3767
150	10000	32	11.3193
150	10000	4	17.9369
150	10000	8	14.0545
150	1000	16	4.69648
150	1000	1	7.47457
150	1000	2	5.94009
150	1000	32	4.57152
150	1000	4	5.21525
150	1000	8	4.83115
150	100	16	4.18919
150	100	1	4.25215
150	100	2	4.12938
150	100	32	3.93544
150	100	4	4.02817
150	100	8	4.00624
150	10	16	4.11494
150	10	1	3.95941
150	10	2	3.97058
150	10	32	4.14953
150	10	4	3.94792
150	10	8	3.92565
150	1	16	3.9381
150	1	1	7.95306
150	1	2	4.23115
150	1	32	3.9288
150	1	4	3.95732
150	1	8	3.93637
125	100000	16	403.519
125	100000	1	1569.86
125	100000	2	1210.56
125	100000	32	275.959
125	100000	4	879.096
125	100000	8	602.364
125	10000	16	41.1328
125	10000	1	150.585
125	10000	2	116.002
125	10000	32	29.9705
125	10000	4	85.1164
125	10000	8	59.569
125	1000	16	7.09991
125	1000	1	16.5299
125	1000	2	13.7152
125	1000	32	5.72885
125	1000	4	10.963
125	1000	8	8.63747
125	100	16	4.13854
125	100	1	5.33685
125	100	2	5.18202
125	100	32	4.22391
125	100	4	4.59739
125	100	8	4.37518
125	10	16	3.98962
125	10	1	4.07789
125	10	2	4.0586
125	10	32	3.96922
125	10	4	4.01406
125	10	8	3.96514
125	1	16	3.95738
125	1	1	3.898
125	1	2	3.87955
125	1	32	3.95367
125	1	4	3.83647
125	1	8	4.17045
100	100000	16	602.678
100	100000	1	2729.34
100	100000	2	1990.5
100	100000	32	406.765
100	100000	4	1382.46
100	100000	8	914.79
100	10000	16	57.8436
100	10000	1	254.876
100	10000	2	186.622
100	10000	32	39.6354
100	10000	4	129.666
100	10000	8	87.5388
100	1000	16	8.68364
100	1000	1	26.7286
100	1000	2	20.4538
100	1000	32	6.87339
100	1000	4	15.4675
100	1000	8	11.241
100	100	16	4.22934
100	100	1	5.6407
100	100	2	5.51689
100	100	32	4.13634
100	100	4	4.81102
100	100	8	4.41738
100	10	16	4.20634
100	10	1	4.05438
100	10	2	3.98394
100	10	32	4.16553
100	10	4	3.95998
100	10	8	3.94087
100	1	16	4.1613
100	1	1	4.24978
100	1	2	3.92035
100	1	32	3.91493
100	1	4	4.26629
100	1	8	3.98664
75	100000	16	807.246
75	100000	1	3880.76
75	100000	2	2791.89
75	100000	32	546.615
75	100000	4	1883.19
75	100000	8	1248.14
75	10000	16	74.8373
75	10000	1	365.773
75	10000	2	260.366
75	10000	32	49.7999
75	10000	4	176.124
75	10000	8	115.786
75	1000	16	10.7801
75	1000	1	35.8113
75	1000	2	27.6761
75	1000	32	8.43053
75	1000	4	20.2547
75	1000	8	14.6634
75	100	16	4.69136
75	100	1	6.74828
75	100	2	5.86228
75	100	32	4.17203
75	100	4	5.40193
75	100	8	4.69595
75	10	16	3.99218
75	10	1	4.2059
75	10	2	4.34662
75	10	32	4.1347
75	10	4	4.04278
75	10	8	4.02002
75	1	16	4.12866
75	1	1	4.80083
75	1	2	4.47963
75	1	32	4.23211
75	1	4	3.9906
75	1	8	4.24711
50	100000	16	1196.33
50	100000	1	5460.58
50	100000	2	3821.55
50	100000	32	840.535
50	100000	4	2619.22
50	100000	8	1763.82
50	10000	16	113.897
50	10000	1	504.514
50	10000	2	351.466
50	10000	32	83.064
50	10000	4	243.367
50	10000	8	165.646
50	1000	16	18.5712
50	1000	1	54.4901
50	1000	2	40.258
50	1000	32	15.1616
50	1000	4	31.1369
50	1000	8	23.9251
50	100	16	4.72806
50	100	1	7.6453
50	100	2	6.46451
50	100	32	4.03323
50	100	4	5.65069
50	100	8	4.94253
50	10	16	4.13401
50	10	1	4.53709
50	10	2	4.4699
50	10	32	4.15118
50	10	4	3.83509
50	10	8	3.77315
50	1	16	3.74171
50	1	1	5.93145
50	1	2	4.45302
50	1	32	3.7415
50	1	4	3.7612
50	1	8	3.75355
31	100000	16	1886.62
31	100000	1	7180.02
31	100000	2	5218.04
31	100000	32	1402.37
31	100000	4	3681.54
31	100000	8	2641.82
31	10000	16	181.062
31	10000	1	667.579
31	10000	2	483.547
31	10000	32	137.905
31	10000	4	345.265
31	10000	8	249.998
31	1000	16	21.8157
31	1000	1	69.7744
31	1000	2	51.6865
31	1000	32	17.1286
31	1000	4	38.327
31	1000	8	28.232
31	100	16	6.84298
31	100	1	11.0727
31	100	2	9.39542
31	100	32	6.47398
31	100	4	8.60813
31	100	8	7.66868
31	10	16	3.91057
31	10	1	4.30048
31	10	2	4.37693
31	10	32	3.89945
31	10	4	3.96064
31	10	8	3.9258
31	1	16	4.21923
31	1	1	5.27642
31	1	2	4.2257
31	1	32	3.98199
31	1	4	3.91187
31	1	8	3.93229
25	100000	16	2239.33
25	100000	1	7933.97
25	100000	2	5872.6
25	100000	32	1687.69
25	100000	4	4237.79
25	100000	8	3083
25	10000	16	204.385
25	10000	1	713.809
25	10000	2	522.748
25	10000	32	156.856
25	10000	4	380.153
25	10000	8	275.201
25	1000	16	21.3438
25	1000	1	66.4005
25	1000	2	50.5429
25	1000	32	17.3385
25	1000	4	37.2672
25	1000	8	27.7088
25	100	16	4.61503
25	100	1	8.18235
25	100	2	6.5965
25	100	32	4.37988
25	100	4	5.62708
25	100	8	4.9941
25	10	16	4.10658
25	10	1	4.1503
25	10	2	4.01522
25	10	32	4.22557
25	10	4	3.91833
25	10	8	3.87305
25	1	16	4.00591
25	1	1	7.89012
25	1	2	4.07835
25	1	32	4.25699
25	1	4	3.86725
25	1	8	4.12994
