Threads	number_of_kmers	kmer_size	search_time
30	1	150	8.179987192
30	10	150	3.971349001
30	100	150	3.826873064
30	1000	150	4.356372833
30	10000	150	10.71912479
30	100000	150	82.561584
30	1	125	4.041661263
30	10	125	4.318553925
30	100	125	3.956614733
30	1000	125	5.996600151
30	10000	125	31.51261735
30	100000	125	289.744024
30	1	100	4.32450223
30	10	100	4.164516211
30	100	100	4.254178524
30	1000	100	7.133559704
30	10000	100	41.46233988
30	100000	100	422.3145282
30	1	75	4.181788683
30	10	75	4.078566313
30	100	75	4.308806658
30	1000	75	8.780706644
30	10000	75	53.32376695
30	100000	75	570.934643
30	1	50	4.19644928
30	10	50	4.078617811
30	100	50	4.332553387
30	1000	50	15.61618781
30	10000	50	87.10607409
30	100000	50	873.5784712
30	1	31	4.184921026
30	10	31	4.093544722
30	100	31	6.641414881
30	1000	31	19.12551284
30	10000	31	142.1756244
30	100000	31	1443.718324
30	1	25	4.429284573
30	10	25	3.868981361
30	100	25	4.188469172
30	1000	25	17.46231651
30	10000	25	164.6114123
30	100000	25	1710.306204
1	1	150	13.23097754
1	10	150	4.140385151
1	100	150	4.220692635
1	1000	150	6.809544086
1	10000	150	33.91134357
1	100000	150	316.4192924
1	1	125	3.864080429
1	10	125	4.252835751
1	100	125	5.237473965
1	1000	125	16.02474475
1	10000	125	139.8293309
1	100000	125	1500.286611
1	1	100	4.18083024
1	10	100	4.062460661
1	100	100	5.619535208
1	1000	100	24.95065999
1	10000	100	245.030756
1	100000	100	2623.098875
1	1	75	4.617299557
1	10	75	4.238135815
1	100	75	6.556092024
1	1000	75	36.46334767
1	10000	75	349.2650344
1	100000	75	3839.810659
1	1	50	5.628820419
1	10	50	4.579569817
1	100	50	7.175397873
1	1000	50	51.90633106
1	10000	50	483.4038334
1	100000	50	5269.823176
1	1	31	9.347479582
1	10	31	4.569889307
1	100	31	10.6488533
1	1000	31	69.28660798
1	10000	31	643.3205466
1	100000	31	7027.114833
1	1	25	9.596275568
1	10	25	4.397412062
1	100	25	7.764288664
1	1000	25	65.68774343
1	10000	25	700.7753394
1	100000	25	7804.111791
