threads	time_hf	memory	time_s
512	4:15:23	214750040	15323
480	4:21:30	230164924	15690
448	4:25:05	231206416	15905
416	4:30:03	184382440	16203
384	4:56:21	214750388	17781
352	4:46:06	214748644	17166
320	4:54:04	231213308	17644
288	5:16:22	214749188	18982
256	5:32:51	230175304	19971
224	5:36:43	230180768	20203
192	5:57:01	230178564	21421
160	6:31:09	230175384	23469
128	7:27:32	231210056	26852
96	8:30:01	182237684	30601
64	10:40:48	188495384	38448
32	16:05:54	204795736	57954
1000	3:36:32	242077144	12992
2000	3:12:44	243128844	11564
3000	3:03:12	243108992	10992
4000	2:57:56	242074160	10676
5000	2:54:59	243116408	10499
6000	2:56:36	242083968	10596
7000	3:01:16	243140000	10876
8000	2:52:43	208030192	10363
9000	2:52:16	242082180	10336
16384	2:50:41	243131140	10241
